Don't Start Now;Dua Lipa
As Your Friend;Afrojack Featuring Chris Brown
Next To Me;Emeli Sande
Like Jesus Does;Eric Church
Karate Chop (Remix);Future Featuring Lil Wayne
Harlem Shake;Baauer
Mirrors;Justin Timberlake
One Way Or Another (Teenage Kicks);One Direction
Bugatti;Ace Hood Featuring Future & Rick Ross
Just Give Me A Reason;P!nk Featuring Nate Ruess
Power Trip;J. Cole Featuring Miguel
She Don't Put It Down;Joe Budden Featuring Lil Wayne & Tank
Alive;Krewella
Hold On;Alabama Shakes
My Songs Know What You Did In The Dark (Light Em Up);Fall Out Boy
Downtown;Lady Antebellum
Stay;Rihanna Featuring Mikky Ekko
Highway Don't Care;Tim McGraw With Taylor Swift
Started From The Bottom;Drake
Pirate Flag;Kenny Chesney
R.I.P.;Young Jeezy Featuring 2 Chainz
I Can Take It From There;Chris Young
Bad;Wale Featuring Tiara Thomas Or Rihanna
Nothing Like Us;Justin Bieber
Yolo;The Lonely Island Featuring Adam Levine & Kendrick Lamar
I Love It;Icona Pop Featuring Charli XCX
Let Me Love You (Until You Learn To Love Yourself);Glee Cast
Can't Hold Us;Macklemore & Ryan Lewis Featuring Ray Dalton
As Long As You Love Me (Acoustic);Justin Bieber
Same Love;Macklemore & Ryan Lewis Featuring Mary Lambert
Loveeeeeee Song;Rihanna Featuring Future
Dope;Tyga Featuring Rick Ross
Mama's Broken Heart;Miranda Lambert
Bad Ass;Kid Ink Featuring Meek Mill & Wale
Get Your Shine On;Florida Georgia Line
Let There Be Cowgirls;Chris Cagle
Feel This Moment;Pitbull Featuring Christina Aguilera
Love Me;Lil Wayne Featuring Drake & Future
Wild For The Night;A$AP Rocky Featuring Skrillex
Long Live A$AP;A$AP Rocky
Troublemaker;Olly Murs Featuring Flo Rida
Wagon Wheel;Darius Rucker
Sure Be Cool If You Did;Blake Shelton
The Moment I Knew;Taylor Swift
If I Lose Myself;OneRepublic
Suit & Tie;Justin Timberlake Featuring JAY Z
We Still In This B****;B.o.B Featuring T.I. & Juicy J
Demons;Imagine Dragons
Bitch, Don't Kill My Vibe;Kendrick Lamar
Pour It Up;Rihanna
I Drive Your Truck;Lee Brice
Riff Off: Mickey / Like A Virgin / Hit Me With Your Best Shot...;The Barden Bellas, The Treblemakers & The BU Harmonics
On My Own;Samantha Barks
Carry On;fun.
I Dreamed A Dream;Anne Hathaway
Cups (Pitch Perfect's When I'm Gone);Anna Kendrick
Bellas Finals: Price Tag / Don't You (Forget About Me)...;The Barden Bellas
Rock Me;One Direction
Cry;Cassadee Pope
King Wizard;Kid Cudi
C'mon;Ke$ha
Crying On A Suitcase;Casey James
Stupid Boy;Cassadee Pope
Let It Be;Terry McDermott
Love Sosa;Chief Keef
Merry Go 'round;Kacey Musgraves
Guap;Big Sean
Two Black Cadillacs;Carrie Underwood
Who Booty;Jonn Hart Featuring IamSU!
All Gold Everything;Trinidad James
Love And War;Tamar Braxton
When I Was Your Man;Bruno Mars
Daylight;Maroon 5
I Want To Know What Love Is;Terry McDermott
Stubborn Love;The Lumineers
Let It Go;Wiz Khalifa Featuring Akon
Somewhere Over The Rainbow;Nicholas David
Neva End;Future
Scream & Shout;will.i.am & Britney Spears
My Life;50 Cent Featuring Eminem & Adam Levine
Too Close;Melanie Martinez
Are You Happy Now?;Cassadee Pope
One Of Those Nights;Tim McGraw
Representin';Ludacris Featuring Kelly Rowland
Oath;Cher Lloyd Featuring Becky G
Over You;Cassadee Pope
Seven Nation Army;Melanie Martinez
Give It All We Got Tonight;George Strait
Stars;Grace Potter & The Nocturnals
Stars;Amanda Brown
Remember You;Wiz Khalifa Featuring The Weeknd
Somebody's Heartbreak;Hunter Hayes
Little Things;One Direction
A Thousand Years (Part 2);Christina Perri Featuring Steve Kazee
Just A Fool;Christina Aguilera With Blake Shelton
Kiss You;One Direction
I'm Different;2 Chainz
Rest Of My Life;Ludacris Featuring Usher & David Guetta
The Only Way I Know;Jason Aldean With Luke Bryan & Eric Church
I Found You;The Wanted
Tornado;Little Big Town
Better Dig Two;The Band Perry
F**kin Problems;A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Don't Judge Me;Chris Brown
Wicked Games;The Weeknd
Don't Rush;Kelly Clarkson Featuring Vince Gill
If I Didn't Have You;Thompson Square
Tip It On Back;Dierks Bentley
22;Taylor Swift
I Almost Do;Taylor Swift
Everything Has Changed;Taylor Swift Featuring Ed Sheeran
Poetic Justice;Kendrick Lamar Featuring Drake
All Too Well;Taylor Swift
Stay Stay Stay;Taylor Swift
Fade Into You;Sam Palladio & Clare Bowen
m.A.A.d City;Kendrick Lamar Featuring MC Eiht
Young & Gettin' It;Meek Mill Featuring Kirko Bangz
State Of Grace;Taylor Swift
Ball;T.I. Featuring Lil Wayne
Catch My Breath;Kelly Clarkson
Night Train;Jason Aldean
Sweet Nothing;Calvin Harris Featuring Florence Welch
Ready Or Not;Bridgit Mendler
I Knew You Were Trouble.;Taylor Swift
Anything Could Happen;Ellie Goulding
El Cerrito Place;Kenny Chesney
Goodbye In Her Eyes;Zac Brown Band
Live While We're Young;One Direction
Red;Taylor Swift
Skyfall;Adele
Locked Out Of Heaven;Bruno Mars
Southern Comfort Zone;Brad Paisley
Just What I Am;Kid Cudi Featuring King Chip
Every Storm (Runs Out Of Rain);Gary Allan
The Scientist;Glee Cast
Lover Of The Light;Mumford & Sons
My Moment;DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih
How Country Feels;Randy Houser
Begin Again;Taylor Swift
Die Young;Ke$ha
Diamonds;Rihanna
Babel;Mumford & Sons
I Cry;Flo Rida
Lover's Eyes;Mumford & Sons
Whispers In The Dark;Mumford & Sons
Don't Stop The Party;Pitbull Featuring TJR
Holland Road;Mumford & Sons
Ghosts That We Knew;Mumford & Sons
Your Body;Christina Aguilera
Try;P!nk
Don't You Worry Child;Swedish House Mafia Featuring John Martin
To The World;Kanye West, R. Kelly
Celebration;Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne
Beautiful;Carly Rae Jepsen Featuring Justin Bieber
Numb;Usher
Beer Money;Kip Moore
Did It For The Girl;Greg Bates
Bandz A Make Her Dance;Juicy J Featuring Lil Wayne & 2 Chainz
Between The Raindrops;Lifehouse Featuring Natasha Bedingfield
This Kiss;Carly Rae Jepsen
Finally Found You;Enrique Iglesias Featuring Sammy Adams
It's Time;Glee Cast
Heart Skips A Beat;Olly Murs Featuring Chiddy Bang
Til My Last Day;Justin Moore
Ronan;Taylor Swift
Girl On Fire;Alicia Keys Featuring Nicki Minaj
Clique;Kanye West, Jay-Z, Big Sean
Gangnam Style;PSY
No Worries;Lil Wayne Featuring Detail
Dance For You;Beyonce
Feel Again;OneRepublic
Battle Scars;Lupe Fiasco & Guy Sebastian
Hello;Karmin
Shinin' On Me;Jerrod Niemann
Thrift Shop;Macklemore & Ryan Lewis Featuring Wanz
Take A Walk;Passion Pit
Ice;Kelly Rowland Featuring Lil Wayne
Madness;Muse
Hall Of Fame;The Script Featuring will.i.am
Kiss Tomorrow Goodbye;Luke Bryan
Dive In;Trey Songz
Creepin';Eric Church
Throw That;Slaughterhouse Featuring Eminem
I Don't Like;Chief Keef Featuring Lil Reese
Yuck!;2 Chainz Featuring Lil Wayne
Lamborghini Angels;Lupe Fiasco
Put It Down;Brandy Featuring Chris Brown
Cruise;Florida Georgia Line Featuring Nelly
I Will Wait;Mumford & Sons
We Are Never Ever Getting Back Together;Taylor Swift
Turn On The Lights;Future
The One That Got Away;Jake Owen
Oh Love;Green Day
New Day;50 Cent Featuring Dr. Dre & Alicia Keys
Adorn;Miguel
Diced Pineapples;Rick Ross Featuring Wale & Drake
Radioactive;Imagine Dragons
Enough Of No Love;Keyshia Cole Featuring Lil Wayne
Let Me Love You (Until You Learn To Love Yourself);Ne-Yo
Swimming Pools (Drank);Kendrick Lamar
New God Flow;Pusha T Kanye West
Birthday Song;2 Chainz Featuring Kanye West
Pound The Alarm;Nicki Minaj
Fastest Girl In Town;Miranda Lambert
Come Wake Me Up;Rascal Flatts
Neon;Chris Young
Take A Little Ride;Jason Aldean
Settle Down;No Doubt
Go Get It;T.I.
Runaways;The Killers
Mercy;Dave Matthews Band
Thinkin Bout You;Frank Ocean
Pop That;French Montana Featuring Rick Ross, Drake, Lil Wayne
Something To Do With My Hands;Thomas Rhett
The A Team;Ed Sheeran
50 Ways To Say Goodbye;Train
That's Why I Pray;Big & Rich
Blow Me (One Last Kiss);P!nk
Truck Yeah;Tim McGraw
I Wish You Would;DJ Khaled Featuring Kanye West & Rick Ross
2 Reasons;Trey Songz Featuring T.I.
Get It Started;Pitbull Featuring Shakira
Good Time;Owl City & Carly Rae Jepsen
Wipe Your Eyes;Maroon 5
Promises;NERO
Bag Of Money;Wale Featuring Rick Ross, Meek Mill & T-Pain
Lost In The Echo;Linkin Park
Windows Down;Big Time Rush
The Wind;Zac Brown Band
One More Night;Maroon 5
Beauty And A Beat;Justin Bieber Featuring Nicki Minaj
Amen;Meek Mill Featuring Drake
Dark Side;Kelly Clarkson
Right Here;Justin Bieber Featuring Drake
Lovin' You Is Fun;Easton Corbin
As Long As You Love Me;Justin Bieber Featuring Big Sean
Want U Back;Cher Lloyd
Over;Blake Shelton
She's So Mean;matchbox twenty
Hard To Love;Lee Brice
Snap Backs & Tattoos;Driicky Graham
All Around The World;Justin Bieber Featuring Ludacris
My Homies Still;Lil Wayne Featuring Big Sean
Pontoon;Little Big Town
Get Low;Waka Flocka Flame Featuring Nicki Minaj, Tyga & Flo Rida
Ho Hey;The Lumineers
It's Time;Imagine Dragons
Gold On The Ceiling;The Black Keys
Glass;Thompson Square
Die In Your Arms;Justin Bieber
I'm All Yours;Jay Sean Featuring Pitbull
Chasing The Sun;The Wanted
For You;Keith Urban
Home;Phillip Phillips
Wide Awake;Katy Perry
Around My Way (Freedom Ain't Free);Lupe Fiasco
Don't Wake Me Up;Chris Brown
Undefeated;Jason Derulo
How We Do (Party);Rita Ora
We've Got Tonight;Phillip Phillips
Come Over;Kenny Chesney
Nobody's Perfect;J. Cole Featuring Missy Elliott
The Fighter;Gym Class Heroes Featuring Ryan Tedder
Angel Eyes;Love And Theft
Cowboys And Angels;Dustin Lynch
No Lie;2 Chainz Featuring Drake
99 Problems;Tony Lucca
Turn To You (Mother's Day Dedication);Justin Bieber
Yesterday;Adam Levine & Tony Lucca
I Believe I Can Fly;Jermaine Paul
The Prayer;Christina Aguilera & Chris Mann
5-1-5-0;Dierks Bentley
Lemme See;Usher Featuring Rick Ross
Both Of Us;B.o.B Featuring Taylor Swift
Blown Away;Carrie Underwood
It's A Man's, Man's, Man's World;Juliet Simms
Shake It Out;Glee Cast
Why Ya Wanna;Jana Kramer
Postcard From Paris;The Band Perry
Work Hard, Play Hard;Wiz Khalifa
Whistle;Flo Rida
How Will I Know;Glee Cast
Scream;Usher
Let's Go;Calvin Harris Featuring Ne-Yo
It's Not Right But It's Okay;Glee Cast
Wanted;Hunter Hayes
Payphone;Maroon 5 Featuring Wiz Khalifa
Burn It Down;Linkin Park
Loud;Mac Miller
Stay Schemin;Rick Ross Featuring Drake & French Montana
Way Too Cold;Kanye West Featuring DJ Khaled
Sweet Love;Chris Brown
Beers Ago;Toby Keith
Eyes Wide Open;Gotye
Tonight (Best You Ever Had);John Legend Featuring Ludacris
Same Damn Time;Future
Somebody That I Used To Know;Glee Cast
Cashin' Out;Ca$h Out
Roxanne;Juliet Simms
Think Like A Man;Jennifer Hudson & Ne-Yo Featuring Rick Ross
Hungry Like The Wolf / Rio;Glee Cast
Dance Again;Jennifer Lopez Featuring Pitbull
Mercy;Kanye West, Big Sean, Pusha T, 2 Chainz
Feel Like A Rock Star;Kenny Chesney & Tim McGraw
Right By My Side;Nicki Minaj Featuring Chris Brown
Take It To The Head;DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Give Your Heart A Break;Demi Lovato
Beez In The Trap;Nicki Minaj Featuring 2 Chainz
Va Va Voom;Nicki Minaj
Love This Life;T.I.
Another Round;Fat Joe Featuring Chris Brown
Fine By Me;Andy Grammer
Little Talks;Of Monsters And Men
(Kissed You) Good Night;Gloriana
Is Anybody Out There?;K'Naan Featuring Nelly Furtado
Boyfriend;Justin Bieber
I Dont Really Care;Waka Flocka Flame Featuring Trey Songz
Heart Attack;Trey Songz
She Doesn't Mind;Sean Paul
Back In Time;Pitbull
Time Is Love;Josh Turner
Ai Se Eu Te Pego;Michel Telo
Got My Country On;Chris Cagle
Naked;Dev & Enrique Iglesias
Eyes Open;Taylor Swift
Too Close;Alex Clare
Come Away To The Water;Maroon 5 Featuring Rozzi Crane
This Ole Boy;Craig Morgan
Bully;Shinedown
We Run The Night;Havana Brown Featuring Pitbull
Crew Love;Drake Featuring The Weeknd
Changed;Rascal Flatts
Everybody Talks;Neon Trees
One Thing;One Direction
Even If It Breaks Your Heart;Eli Young Band
Leave You Alone;Young Jeezy Featuring Ne-Yo
TTYLXOX;Bella Thorne
Shadow Days;John Mayer
Midnight City;M83.
Brokenhearted;Karmin
No Hurry;Zac Brown Band
Sex Ain't Better Than Love;Trey Songz
Live My Life;Far*East Movement Featuring Justin Bieber
Roman Reloaded;Nicki Minaj Featuring Lil Wayne
Springsteen;Eric Church
Ayy Ladies;Travis Porter Featuring Tyga
UP!;LoveRance Featuring IamSu & Skipper or 50 Cent
Magic;Future Featuring T.I.
Thank You;Estelle
So Good;B.o.B
Good Girl;Carrie Underwood
Call Me Maybe;Carly Rae Jepsen
Fly / I Believe I Can Fly;Glee Cast
Some Nights;fun.
Birthday Cake;Rihanna Featuring Chris Brown
Cough Syrup;Glee Cast
What Doesn't Kill You (Stronger);Glee Cast
Here's To Us;Glee Cast
Mutha***** Up;Tyga Featuring Nicki Minaj
Climax;Usher
Glad You Came;Glee Cast
Make It Nasty;Tyga
Fly Over States;Jason Aldean
Cough Syrup;Young The Giant
Part Of Me;Katy Perry
Starships;Nicki Minaj
Turn Up The Music;Chris Brown
What Makes You Beautiful;One Direction
Runaway Baby;Bruno Mars
Banjo;Rascal Flatts
I Will Always Love You;Glee Cast
I Can Only Imagine;David Guetta Featuring Chris Brown & Lil Wayne
Stereo Hearts;Glee Cast
Bangarang;Skrillex Featuring Sirah
Raise Your Weapon;deadmau5 Featuring Greta Svabo Bech
Ima Boss;Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz
Say Aah;Lindsey Pavao
Sexy And I Know It;Glee Cast Featuring Ricky Martin
Somethin' 'Bout A Truck;Kip Moore
Feel So Close;Calvin Harris
Drank In My Cup;Kirko Bangz
La Isla Bonita;Glee Cast Featuring Ricky Martin
Snitches Ain't...;YG Featuring Tyga, Snoop Dogg & Nipsey Hussle
Give Me All Your Luvin';Madonna Featuring Nicki Minaj & M.I.A.
Smooth Criminal;Glee Cast Featuring 2Cellos
Human Nature;Glee Cast
Black Or White;Glee Cast
Wanna Be Startin' Somethin';Glee Cast
Bad;Glee Cast
4 AM;Melanie Fiona
Drink On It;Blake Shelton
Sorry For Party Rocking;LMFAO
Do It Like You;Diggy Featuring Jeremih
Without You;Glee Cast
Faded;Tyga Featuring Lil Wayne
We Found Love;Glee Cast
Moves Like Jagger / Jumpin' Jack Flash;Glee Cast
The First Time Ever I Saw Your Face;Glee Cast
Summer Nights;Glee Cast
Mr. Wrong;Mary J. Blige Featuring Drake
Love's Gonna Make It Alright;George Strait
No Church In The Wild;Jay Z Kanye West Featuring Frank Ocean
Drive By;Train
Tattoo;Van Halen
Called Out In The Dark;Snow Patrol
Glad You Came;The Wanted
Video Games;Lana Del Rey
Don't Stop (Color On The Walls);Foster The People
Wild Boy;MGK Featuring Waka Flocka Flame
I Won't Give Up;Jason Mraz
Kyoto;Skrillex Featuring Sirah
Set You Free;3OH!3
Somebody That I Used To Know;Gotye Featuring Kimbra
Where I Come From;Montgomery Gentry
Gotta Have It;Jay Z Kanye West
The Champ;Nelly
Play The Guitar;B.o.B Featuring Andre 3000
Safe & Sound;Taylor Swift Featuring The Civil Wars
Wild Ones;Flo Rida Featuring Sia
I Do;Young Jeezy Featuring Jay-Z & Andre 3000
Scary Monsters And Nice Sprites;Skrillex
Better Than I Know Myself;Adam Lambert
Stupid Hoe;Nicki Minaj
Knock Knock;Mac Miller
Wobble;V.I.C.
Better Than I Used To Be;Tim McGraw
Do They Know It's Christmas?;Glee Cast
A Woman Like You;Lee Brice
All I Want For Christmas Is You;Michael Buble
Ass Back Home;Gym Class Heroes Featuring Neon Hitch
We Are Young;Glee Cast
Bang Bang Pow Pow;T-Pain Featuring Lil Wayne
Survivor / I Will Survive;Glee Cast
We Are Young;fun. Featuring Janelle Monae
Man In The Mirror;Glee Cast
ABC;Glee Cast
Alone With You;Jake Owen
You Gonna Fly;Keith Urban
Red Solo Cup;Glee Cast
I'll Be Home For Christmas;Kelly Clarkson
Round Of Applause;Waka Flocka Flame Featuring Drake
Amen;Edens Edge
Perfect;Glee Cast
Girls Just Want To Have Fun;Glee Cast
Roman In Moscow;Nicki Minaj
I Kissed A Girl;Glee Cast
Tongue Tied;Grouplove
Can't Get Enough;J. Cole Featuring Trey Songz
I'm The Only One;Glee Cast
Constant Craving;Glee Cast
It's Beginning To Look A Lot Like Christmas;Michael Buble
Camouflage;Brad Paisley
Talk That Talk;Rihanna Featuring Jay-Z
T.H.E (The Hardest Ever);will.i.am Featuring Mick Jagger & Jennifer Lopez
Where Have You Been;Rihanna
Strip;Chris Brown Featuring Kevin K-MAC McCall
Lullaby;Nickelback
Rack City;Tyga
Tonight Is The Night;Outasight
El Verdadero Amor Perdona;Mana Featuring Prince Royce
Take Care;Drake Featuring Rihanna
Rumour Has It / Someone Like You;Glee Cast
The Motto;Drake Featuring Lil Wayne
Levels;Avicii
Hate Sleeping Alone;Drake
You And  I / You And I;Glee Cast
I Can't Go For That / You Make My Dreams;Glee Cast
Hit Me With Your Best Shot / One Way Or Another;Glee Cast
We'll Be Fine;Drake Featuring Birdman
HYFR (Hell Ya F*****g Right);Drake Featuring Lil Wayne
Shot For Me;Drake
If This Was A Movie;Taylor Swift
Ours;Taylor Swift
Superman;Taylor Swift
Run;Matt Nathanson Featuring Sugarland
Smile Back;Mac Miller
Footloose;Blake Shelton
Uptown Girl;Glee Cast
Home;Dierks Bentley
You Da One;Rihanna
Come Home;Faith Hill
Party On Fifth Ave.;Mac Miller
Last Friday Night;Glee Cast
Ambition;Wale Featuring Meek Mill & Rick Ross
All I Want For Christmas Is You (SuperFestive!);Justin Bieber Duet With Mariah Carey
Blackout;Breathe Carolina
Over You;Miranda Lambert
Reality;Kenny Chesney
Drummer Boy;Justin Bieber Featuring Busta Rhymes
First Of The Year (Equinox);Skrillex
Princess Of China;Coldplay Featuring Rihanna
Red Solo Cup;Toby Keith
Sweat;Bow Wow Featuring Lil Wayne
Christmas Song (Chestnuts Roasting On An Open Fire);Justin Bieber Featuring Usher
Stronger (What Doesn't Kill You);Kelly Clarkson
Shake It Out;Florence + The Machine
Lotus Flower Bomb;Wale Featuring Miguel
Lonely Boy;The Black Keys
Lessons In Love;Kaskade Featuring Neon Trees
Storm Warning;Hunter Hayes
Bait A Hook;Justin Moore
Mistletoe;Justin Bieber
A Thousand Years;Christina Perri
You The Boss;Rick Ross Featuring Nicki Minaj
You;Chris Young
Promise;Romeo Santos Featuring Usher
Focused;Wale Featuring Kid Cudi
Young, Wild & Free;Snoop Dogg & Wiz Khalifa Featuring Bruno Mars
Heartbeat;The Fray
Countdown;Beyonce
Still Got It;Tyga Featuring Drake
Good Good Night;Roscoe Dash
Criminal;Britney Spears
The One That Got Away;Katy Perry
Domino;Jessie J
Make Me Proud;Drake Featuring Nicki Minaj
Lost In Paradise;Evanescence
Crawling Back To You;Daughtry
I Like It Like That;Hot Chelle Rae Featuring New Boyz
Fix You;Glee Cast
Hangover;Taio Cruz Featuring Flo Rida
I'm Flexin';T.I. Featuring Big K.R.I.T.
I Like How It Feels;Enrique Iglesias Featuring Pitbull & The WAV.s
Run The World (Girls);Glee Cast
Dance (A$$);Big Sean Featuring Nicki Minaj
Party;Beyonce Featuring Andre 3000
Strange Clouds;B.o.B Featuring Lil Wayne
It Will Rain;Bruno Mars
When We Stand Together;Nickelback
5 O'Clock;T-Pain Featuring Wiz Khalifa & Lily Allen
Somewhere;Glee Cast
Dedication To My Ex (Miss That);Lloyd Featuring Andre 3000 & Lil Wayne
Fight For You;Jason Derulo
After Midnight;Blink-182
I Don't Want This Night To End;Luke Bryan
Keep Me In Mind;Zac Brown Band
Calling All The Monsters;China Anne McClain
We Found Love;Rihanna Featuring Calvin Harris
It's Not Unusual;Glee Cast
You Can't Stop The Beat;Glee Cast
Y.U. Mad;Birdman Featuring Nicki Minaj & Lil Wayne
Fix A Heart;Demi Lovato
Tattoos On This Town;Jason Aldean
We Got The Beat;Glee Cast
Drink In My Hand;Eric Church
Unbroken;Demi Lovato
Paradise;Coldplay
I Got Nothin';Darius Rucker
Body And Soul;Tony Bennett & Amy Winehouse
Let It Rain;David Nail Featuring Sarah Buxton
Body 2 Body;Ace Hood Featuring Chris Brown
Got 2 Luv U;Sean Paul Featuring Alexis Jordan
You Don't Know Her Like I Do;Brantley Gilbert
Mr. Know It All;Kelly Clarkson
Wanted You More;Lady Antebellum
Police Dog Blues;Hugh Laurie
The Trouble With Girls;Scotty McCreery
Disaster;JoJo
All Your Life;The Band Perry
Wet The Bed;Chris Brown Featuring Ludacris
Mirror;Lil Wayne Featuring Bruno Mars
Love On Top;Beyonce
Blunt Blowin;Lil Wayne
Turn Me On;David Guetta Featuring Nicki Minaj
Without You;David Guetta Featuring Usher
Beautiful People;Chris Brown Featuring Benny Benassi
Dancin' Away With My Heart;Lady Antebellum
MegaMan;Lil Wayne
My Body;Young The Giant
Sexy And I Know It;LMFAO
It's Good;Lil Wayne Featuring Drake & Jadakiss
Good Feeling;Flo Rida
How To Hate;Lil Wayne Featuring T-Pain
Nightmares Of The Bottom;Lil Wayne
President Carter;Lil Wayne
So Special;Lil Wayne Featuring John Legend
Hell On Heels;Pistol Annies
I'm Gonna Love You Through It;Martina McBride
Night Of Your Life;David Guetta Featuring Jennifer Hudson
Love Don't Run;Steve Holy
What The Water Gave Me;Florence + The Machine
Cost Of Livin';Ronnie Dunn
That Way;Wale Featuring Jeremih & Rick Ross
Martians Vs Goblins;Game Featuring Lil Wayne & Tyler, The Creator
She Will;Lil Wayne Featuring Drake
We Owned The Night;Lady Antebellum
Frick Park Market;Mac Miller
Don't Hold Your Breath;Nicole Scherzinger
Sail;AWOLNATION
Brighter Than The Sun;Colbie Caillat
I Got You;Thompson Square
Headlines;Drake
It Girl;Jason Derulo
Who Gon Stop Me;Jay Z Kanye West
Titanium;David Guetta Featuring Sia
Baggage Claim;Miranda Lambert
What You Want;Evanescence
Ni**as in Paris;Jay Z Kanye West
We Don't Get Down Like Y'all;T.I. Featuring B.o.B.
Drunk On You;Luke Bryan
Nothing;The Script
Mrs. Right;Mindless Behavior Featuring Diggy
Under And Over It;Five Finger Death Punch
Lights;Ellie Goulding
Ships In The Night;Mat Kearney
In The Dark;Dev
Till I'm Gone;Tinie Tempah Featuring Wiz Khalifa
Far Away;Tyga Featuring Chris Richardson
Gucci Gucci;Kreayshawn
Easy;Rascal Flatts Featuring Natasha Bedingfield
Cheers (Drink To That);Rihanna
Don't Stop The Party;The Black Eyed Peas
Rumour Has It;Adele
Fish;Craig Campbell
Faster;Matt Nathanson
One More Drinkin' Song;Jerrod Niemann
The Adventures Of Rain Dance Maggie;Red Hot Chili Peppers
Otis;Jay Z Kanye West Featuring Otis Redding
Marvins Room;Drake
Outlaw;50 Cent
Marvin & Chardonnay;Big Sean Featuring Kanye West & Roscoe Dash
Quickie;Miguel
Oh My;DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa
Skyscraper;Demi Lovato
Booty Wurk (One Cheek At A Time);T-Pain Featuring Joey Galaxy
God Gave Me You;Blake Shelton
You Make Me Feel...;Cobra Starship Featuring Sabi
What If;Colbie Caillat
Up All Night;Blink-182
Long Hot Summer;Keith Urban
Mr. Saxobeat;Alexandra Stan
Novacane;Frank Ocean
Work Out;J. Cole
I Wouldn't Be A Man;Josh Turner
Smile;Avril Lavigne
Taboo;Don Omar
Walk;Foo Fighters
Stitch By Stitch;Javier Colon
Inventing Shadows;Dia Frampton
Man In The Mirror;Adam Levine & Javier Colon
I Won't Back Down;Blake Shelton & Dia Frampton
Here For A Good Time;George Strait
Little Bad Girl;David Guetta Featuring Taio Cruz & Ludacris
Beautiful;Christina Aguilera & Beverly McClellan
Afraid To Sleep;Vicci Martinez
Moving To Mars;Coldplay
Major Minus;Coldplay
Pretty Girls;Iyaz Featuring Travie McCoy
High;Big Sean Featuring Wiz Khalifa
Moves Like Jagger;Maroon 5 Featuring Christina Aguilera
Fix You;Javier Colon
Losing My Religion;Dia Frampton
Dog Days Are Over;Vicci Martinez
Shake Senora;Pitbull Featuring T-Pain & Sean Paul
Love You Like A Love Song;Selena Gomez & The Scene
The Man Who Can't Be Moved;Xenia
Watch Me;Bella Thorne & Zendaya
So In Love;Jill Scott Featuring Anthony Hamilton
Save Me, San Francisco;Train
Country Must Be Country Wide;Brantley Gilbert
Lighters;Bad Meets Evil Featuring Bruno Mars
Angel;Javier Colon
Today Is Your Day;Shania Twain
Rain Over Me;Pitbull Featuring Marc Anthony
Jolene;Vicci Martinez
Stereo Hearts;Gym Class Heroes Featuring Adam Levine
Black Horse And The Cherry Tree;Casey Weston
See No More;Joe Jonas
Take Over Control;Afrojack Featuring Eva Simons
Love Done Gone;Billy Currington
Price Tag;Xenia
Monster;Paramore
Remind Me;Brad Paisley Duet With Carrie Underwood
Pause;Pitbull
Heartless;Dia Frampton
Bang Bang Bang;Selena Gomez & The Scene
Made In America;Toby Keith
Not Over You;Gavin DeGraw
You;Romeo Santos
Teenage Daughters;Martina McBride
Every Teardrop Is A Waterfall;Coldplay
International Love;Pitbull Featuring Chris Brown
Best Thing I Never Had;Beyonce
Iridescent;Linkin Park
Unusual;Trey Songz Featuring Drake
Take A Back Road;Rodney Atkins
Best Friend's Brother;Victorious Cast Featuring Victoria Justice
Keep Your Head Up;Andy Grammer
Cat Daddy;Rej3ctz
Just Fishin';Trace Adkins
I Love You This Big;Scotty McCreery
Like My Mother Does;Lauren Alaina
Light Up The World;Glee Cast
You And I;Lady Gaga
Pretending;Glee Cast
1+1;Beyonce
For Good;Glee Cast
How To Love;Lil Wayne
Rise Above 1;Reeve Carney Featuring Bono & The Edge
Marry The Night;Lady Gaga
Donald Trump;Mac Miller
I Love New York / New York, New York;Glee Cast
You And Tequila;Kenny Chesney Featuring Grace Potter
As Long As You're There;Glee Cast
Man Down;Rihanna
Out Of My Head;Lupe Fiasco Featuring Trey Songz
Hair;Lady Gaga
Ballin';Young Jeezy Featuring Lil Wayne
Pure Imagination;Glee Cast
Right There;Nicole Scherzinger Featuring 50 Cent
I'm On One;DJ Khaled Featuring Drake, Rick Ross & Lil Wayne
California King Bed;Rihanna
Back To Black;Glee Cast
Don't Wanna Go Home;Jason Derulo
My Man;Glee Cast
Look It Up;Ashton Shepherd
The Edge Of Glory;Lady Gaga
Dirty Dancer;Enrique Iglesias With Usher Featuring Lil Wayne
Rolling In The Deep;Glee Cast Featuring Jonathan Groff
Friday;Glee Cast
(It) Feels So Good;Steven Tyler
Jar Of Hearts;Glee Cast
9 Piece;Rick Ross Featuring Lil Wayne Or T.I.
Isn't She Lovely;Glee Cast
Jack Sparrow;The Lonely Island Featuring Michael Bolton
I'm Not Gonna Teach Your Boyfriend To Dance With You;Glee Cast
Knee Deep;Zac Brown Band Featuring Jimmy Buffett
Dancing Queen;Glee Cast
I Am Woman;Jordin Sparks
